Data	Dia da Semana	Feriado
1/1/24	segunda-feira	Confraternização Universal
12/2/24	segunda-feira	Carnaval
13/2/24	terça-feira	Carnaval
29/3/24	sexta-feira	Paixão de Cristo
21/4/24	domingo	Tiradentes
1/5/24	quarta-feira	Dia do Trabalho
30/5/24	quinta-feira	Corpus Christi
7/9/24	sábado	Independência do Brasil
12/10/24	sábado	Nossa Sra Aparecida Padroeira do Brasil
2/11/24	sábado	Finados
15/11/24	sexta-feira	Proclamação da República
20/11/24	quarta-feira	Zumbi e da Consciência Negra
25/12/24	quarta-feira	Natal

